Date,Open,High,Low,Close,Volume,Spread
2020-01-01,0.70137,0.70192,0.70048,0.70182,3365,53
2020-01-02,0.70188,0.70195,0.69782,0.69829,73627,11
2020-01-03,0.69828,0.69862,0.69299,0.69456,85087,9
2020-01-06,0.69432,0.69574,0.6925,0.69364,75477,9
2020-01-07,0.69366,0.69389,0.68498,0.68594,93323,9
2020-01-08,0.68592,0.68851,0.68487,0.68749,114268,9
2020-01-09,0.68749,0.68802,0.685,0.68529,69654,9
2020-01-10,0.68531,0.69109,0.68505,0.68981,74002,9
2020-01-13,0.68994,0.69195,0.68943,0.6897,69076,9
2020-01-14,0.68969,0.69094,0.68848,0.68944,77157,8
2020-01-15,0.68943,0.69163,0.68771,0.69069,67114,9
2020-01-16,0.69069,0.69335,0.68875,0.68981,69444,9
2020-01-17,0.68981,0.69108,0.687,0.68708,63565,8
2020-01-20,0.6881,0.68882,0.68549,0.68752,44314,9
2020-01-21,0.68754,0.68802,0.68418,0.68471,74207,9
2020-01-22,0.68471,0.68559,0.68268,0.6841,68859,8
2020-01-23,0.6841,0.68785,0.6829,0.68482,92903,9
2020-01-24,0.6848,0.6857,0.68172,0.6819,69475,8
2020-01-27,0.68009,0.68168,0.67518,0.67614,81229,9
2020-01-28,0.67614,0.67664,0.67367,0.67636,74714,9
2020-01-29,0.67633,0.67769,0.67349,0.6753,75708,9
2020-01-30,0.67529,0.67531,0.66997,0.67052,93245,8
2020-01-31,0.67051,0.67294,0.66825,0.6685,88107,8
2020-02-03,0.66921,0.67067,0.66833,0.66893,86565,9
2020-02-04,0.66893,0.67416,0.66784,0.67307,87693,8
2020-02-05,0.67309,0.67738,0.67234,0.67511,87448,10
2020-02-06,0.67511,0.67648,0.67266,0.67309,68826,8
2020-02-07,0.6731,0.6731,0.66619,0.66707,75978,10
2020-02-10,0.66697,0.6707,0.66676,0.66892,67286,9
2020-02-11,0.66892,0.67363,0.66805,0.6718,59503,10
2020-02-12,0.67179,0.67498,0.67065,0.67128,415459,11
2020-02-13,0.67128,0.67449,0.67094,0.67186,578340,8
2020-02-14,0.67186,0.67312,0.67089,0.67105,360182,8
2020-02-17,0.67252,0.6733,0.67065,0.67092,40454,8
2020-02-18,0.67091,0.67093,0.66733,0.66936,64752,9
2020-02-19,0.66935,0.67072,0.66649,0.66805,56317,9
2020-02-20,0.66805,0.66931,0.66099,0.66114,74796,8
2020-02-21,0.66114,0.66385,0.65855,0.66241,76273,9
2020-02-24,0.66054,0.66195,0.65862,0.66103,95253,10
2020-02-25,0.66103,0.66221,0.6586,0.66047,97999,9
2020-02-26,0.66046,0.66067,0.65419,0.65464,102223,10
2020-02-27,0.65464,0.65918,0.6543,0.65798,112427,11
2020-02-28,0.65799,0.6585,0.64335,0.65056,183446,9
2020-03-02,0.65131,0.65677,0.64886,0.65487,148997,9
2020-03-03,0.65484,0.66453,0.65093,0.65826,154247,10
2020-03-04,0.65827,0.66291,0.65827,0.66279,97542,10
2020-03-05,0.66279,0.66364,0.65835,0.66156,82683,10
2020-03-06,0.66158,0.6657,0.65847,0.66387,110709,10
2020-03-09,0.6612,0.66846,0.6307,0.65969,234066,11
2020-03-10,0.65974,0.66035,0.6462,0.64938,162907,13
2020-03-11,0.64944,0.65393,0.64697,0.64764,155531,11
2020-03-12,0.64766,0.64811,0.62114,0.62738,274515,12
2020-03-13,0.62744,0.63253,0.61224,0.61835,215825,16
2020-03-16,0.61783,0.61882,0.60786,0.61012,240221,20
2020-03-17,0.61014,0.61483,0.59585,0.5989,232721,13
2020-03-18,0.5989,0.60283,0.57017,0.5792,267517,17
2020-03-19,0.57921,0.59639,0.55068,0.57427,337293,19
2020-03-20,0.57427,0.5985,0.57087,0.57978,298824,34
2020-03-23,0.57519,0.58846,0.56993,0.58746,394879,25
2020-03-24,0.58746,0.59896,0.58643,0.59689,281504,20
2020-03-25,0.59688,0.6073,0.58927,0.59012,249158,15
2020-03-26,0.59011,0.60869,0.58698,0.60774,221771,18
2020-03-27,0.60774,0.61998,0.60222,0.61572,244870,15
2020-03-30,0.61732,0.61835,0.61111,0.61642,216469,18
2020-03-31,0.61645,0.62131,0.60745,0.61375,318638,18
2020-04-01,0.61379,0.61848,0.60384,0.60893,217547,17
2020-04-02,0.60894,0.61186,0.60065,0.60644,215436,17
2020-04-03,0.60643,0.6075,0.59797,0.59867,178390,18
2020-04-06,0.59926,0.6122,0.59905,0.61163,176305,15
2020-04-07,0.61166,0.62078,0.60969,0.61514,231964,13
2020-04-08,0.61509,0.62446,0.61152,0.62326,185066,13
2020-04-09,0.62334,0.6363,0.61948,0.63306,181128,13
2020-04-10,0.63306,0.63673,0.63123,0.63409,40930,29
2020-04-13,0.63343,0.64089,0.63301,0.63987,101093,16
2020-04-14,0.63987,0.64443,0.6374,0.64345,141061,15
2020-04-15,0.64345,0.64358,0.62838,0.6308,160353,10
2020-04-16,0.63081,0.63848,0.62639,0.63589,211227,12
2020-04-17,0.63592,0.63829,0.63139,0.63598,172031,16
2020-04-20,0.63363,0.6397,0.63296,0.63412,146548,11
2020-04-21,0.63415,0.63462,0.6253,0.6292,160070,13
2020-04-22,0.62923,0.63525,0.62808,0.62963,117253,11
2020-04-23,0.62971,0.64061,0.62825,0.63756,134787,12
2020-04-24,0.6376,0.63981,0.63368,0.63892,96156,11
2020-04-27,0.63971,0.64712,0.63921,0.64491,100885,11
2020-04-28,0.64492,0.65136,0.64338,0.65019,106647,11
2020-04-29,0.65019,0.65582,0.65008,0.6554,98289,10
2020-04-30,0.65538,0.65695,0.64825,0.64941,136799,9
2020-05-01,0.64943,0.64968,0.64097,0.64149,86783,10
2020-05-04,0.63759,0.64344,0.63723,0.64252,99609,10
2020-05-05,0.64253,0.64756,0.64165,0.64327,105207,10
2020-05-06,0.6433,0.64525,0.63779,0.63905,113403,12
2020-05-07,0.63907,0.65102,0.63907,0.65002,109496,10
2020-05-08,0.65012,0.65476,0.64974,0.65301,87295,10
2020-05-11,0.65349,0.65611,0.64562,0.64837,82286,11
