Date,Open,High,Low,Close,Volume,Spread
2020-01-01,1.12106,1.12218,1.12106,1.12188,2622,46
2020-01-02,1.12188,1.12245,1.11635,1.11708,487248,3
2020-01-03,1.11707,1.11798,1.11249,1.11548,177422,3
2020-01-06,1.11603,1.12055,1.11571,1.11954,139986,3
2020-01-07,1.11953,1.1197,1.11335,1.1154,155625,3
2020-01-08,1.11539,1.11682,1.11016,1.11129,195248,3
2020-01-09,1.1113,1.11204,1.10924,1.11093,142847,3
2020-01-10,1.11092,1.11291,1.1085,1.11165,126777,3
2020-01-13,1.11161,1.11469,1.11125,1.11344,121444,3
2020-01-14,1.11344,1.11444,1.11045,1.11275,137190,3
2020-01-15,1.11276,1.11634,1.11185,1.11524,149735,3
2020-01-16,1.11524,1.11727,1.11279,1.11368,132792,3
2020-01-17,1.11368,1.11425,1.10862,1.1089,123860,3
2020-01-20,1.10946,1.11023,1.10766,1.10962,97617,2
2020-01-21,1.10963,1.11179,1.10809,1.10851,133297,2
2020-01-22,1.10851,1.10984,1.107,1.10957,134184,3
2020-01-23,1.10956,1.11087,1.10362,1.10554,170435,3
2020-01-24,1.10554,1.10617,1.10195,1.10224,123754,3
2020-01-27,1.10245,1.10375,1.10096,1.10193,126592,3
2020-01-28,1.10193,1.10252,1.09978,1.1022,122880,3
2020-01-29,1.1022,1.10276,1.09923,1.10138,122836,3
2020-01-30,1.10138,1.10393,1.10069,1.10285,143395,2
2020-01-31,1.10285,1.10954,1.10168,1.10944,141189,3
2020-02-03,1.1089,1.1089,1.10356,1.10623,134301,3
2020-02-04,1.10623,1.10641,1.10328,1.10446,113722,4
2020-02-05,1.10449,1.10479,1.09937,1.10003,122284,3
2020-02-06,1.10003,1.10138,1.09644,1.09806,102188,3
2020-02-07,1.09809,1.09849,1.09419,1.09438,130379,3
2020-02-10,1.09491,1.09574,1.09076,1.09101,103269,3
2020-02-11,1.09103,1.09248,1.08913,1.09189,96233,3
2020-02-12,1.09187,1.09255,1.08654,1.08756,252638,6
2020-02-13,1.08755,1.08887,1.0834,1.08413,336731,3
2020-02-14,1.08415,1.08611,1.08271,1.08299,118361,2
2020-02-17,1.08411,1.08509,1.08291,1.08366,74839,3
2020-02-18,1.08365,1.08372,1.07854,1.07949,131588,3
2020-02-19,1.07949,1.08115,1.07822,1.08096,105176,3
2020-02-20,1.08095,1.08211,1.07778,1.07875,154026,4
2020-02-21,1.07875,1.08635,1.07871,1.08456,187654,3
2020-02-24,1.08385,1.0872,1.0805,1.08485,174358,4
2020-02-25,1.08485,1.08902,1.083,1.08797,183233,3
2020-02-26,1.08796,1.09086,1.08549,1.08864,188227,3
2020-02-27,1.08865,1.10064,1.08848,1.09963,216936,3
2020-02-28,1.09964,1.1053,1.09509,1.10251,247663,3
2020-03-02,1.10516,1.11845,1.10362,1.11443,247038,3
2020-03-03,1.11443,1.12134,1.10953,1.11765,214831,4
2020-03-04,1.11765,1.11875,1.10955,1.1138,163862,3
2020-03-05,1.11382,1.12447,1.11195,1.12224,194629,4
2020-03-06,1.12224,1.13546,1.12112,1.12804,236547,3
2020-03-09,1.13876,1.14954,1.13559,1.13989,291484,4
2020-03-10,1.13989,1.14251,1.12749,1.13136,263081,6
2020-03-11,1.13136,1.13667,1.12501,1.12611,198271,6
2020-03-12,1.12612,1.13336,1.1055,1.11823,262653,6
2020-03-13,1.11822,1.12213,1.1055,1.10992,229628,7
2020-03-16,1.1156,1.12366,1.10849,1.11633,278546,21
2020-03-17,1.11632,1.11891,1.0955,1.1016,277098,4
2020-03-18,1.10161,1.10451,1.08016,1.09442,323485,8
2020-03-19,1.09442,1.0949,1.06542,1.06544,299830,10
2020-03-20,1.06543,1.08309,1.06375,1.06929,470361,9
2020-03-23,1.06886,1.08279,1.06577,1.07635,443006,10
