Date,Open,High,Low,Close,Volume,Spread
2020-01-01,1.32463,1.32608,1.32457,1.32497,13079,54
2020-01-02,1.32497,1.32661,1.31152,1.31467,236690,11
2020-01-03,1.31466,1.316,1.30531,1.30787,172338,12
2020-01-06,1.30767,1.31785,1.30638,1.31711,146562,14
2020-01-07,1.31708,1.3212,1.30948,1.31134,173968,11
2020-01-08,1.31135,1.31694,1.30799,1.31051,200783,15
2020-01-09,1.31047,1.31233,1.30126,1.30691,188161,13
2020-01-10,1.30691,1.30968,1.30422,1.30569,144384,12
2020-01-13,1.30432,1.3045,1.29608,1.29859,148135,12
2020-01-14,1.29858,1.30329,1.29542,1.30211,148022,13
2020-01-15,1.30211,1.30582,1.2985,1.30392,138964,10
2020-01-16,1.30395,1.30828,1.30252,1.3076,138653,14
2020-01-17,1.30758,1.31184,1.3005,1.30058,146595,12
2020-01-20,1.30052,1.30132,1.29617,1.30035,95090,15
2020-01-21,1.30037,1.30831,1.29952,1.30451,137613,13
2020-01-22,1.30451,1.31525,1.30343,1.31435,165261,10
2020-01-23,1.31435,1.31508,1.30966,1.31186,134584,13
2020-01-24,1.31185,1.31739,1.30565,1.30701,147582,10
2020-01-27,1.30606,1.3105,1.30395,1.30588,117845,11
2020-01-28,1.30588,1.30649,1.29752,1.30231,115531,13
2020-01-29,1.3023,1.30273,1.29892,1.30207,97494,10
2020-01-30,1.30207,1.31099,1.29773,1.30846,149657,11
2020-01-31,1.30846,1.3209,1.30835,1.32014,144599,12
2020-02-03,1.31806,1.3182,1.29827,1.29963,159842,10
2020-02-04,1.29963,1.30464,1.2941,1.30302,165877,9
2020-02-05,1.30302,1.30697,1.2956,1.29949,165999,11
2020-02-06,1.29949,1.29986,1.29211,1.29299,129981,10
2020-02-07,1.29296,1.29589,1.28813,1.28818,150625,10
2020-02-10,1.28894,1.29459,1.28716,1.29154,131198,9
2020-02-11,1.29154,1.29679,1.28941,1.29557,130032,10
2020-02-12,1.29554,1.29914,1.29511,1.29573,816877,14
2020-02-13,1.29574,1.30693,1.29439,1.30447,901462,9
2020-02-14,1.30445,1.30634,1.30009,1.30455,618446,7
2020-02-17,1.30509,1.3051,1.29977,1.30055,101687,10
2020-02-18,1.30055,1.30486,1.29705,1.29987,155994,9
2020-02-19,1.29987,1.30229,1.29072,1.29255,147435,12
2020-02-20,1.29255,1.29281,1.28488,1.28803,121837,12
2020-02-21,1.28803,1.29806,1.28785,1.29529,155393,13
2020-02-24,1.29513,1.2954,1.28864,1.29239,171208,10
2020-02-25,1.29238,1.30179,1.2914,1.3002,184183,12
2020-02-26,1.3002,1.30077,1.28927,1.29054,192241,11
2020-02-27,1.29055,1.29462,1.28599,1.2887,214353,12
2020-02-28,1.2887,1.29195,1.27255,1.28125,246794,12
2020-03-02,1.28039,1.28503,1.27387,1.2766,260818,13
2020-03-03,1.2766,1.28438,1.27581,1.28194,268520,14
2020-03-04,1.28195,1.28725,1.27698,1.28707,190685,12
2020-03-05,1.28707,1.29683,1.28603,1.29487,169012,13
2020-03-06,1.29489,1.30517,1.29488,1.30459,261308,13
2020-03-09,1.30958,1.32003,1.30342,1.30726,353355,14
2020-03-10,1.30727,1.30884,1.28654,1.29048,319252,18
2020-03-11,1.29048,1.29765,1.28035,1.28168,236896,16
2020-03-12,1.28166,1.28487,1.24899,1.25708,330172,17
2020-03-13,1.25706,1.2624,1.22597,1.22673,345672,37
2020-03-16,1.23964,1.23991,1.22015,1.22655,394032,24
2020-03-17,1.22655,1.22695,1.20009,1.21152,428173,27
2020-03-18,1.21155,1.21294,1.14497,1.1608,395457,19
2020-03-19,1.16084,1.1793,1.14095,1.14901,434045,31
2020-03-20,1.149,1.19334,1.14755,1.16301,381367,32
2020-03-23,1.16178,1.17133,1.14462,1.15948,419734,63
2020-03-24,1.15945,1.17989,1.15792,1.17884,412188,17
2020-03-25,1.17884,1.1973,1.16383,1.18466,391441,20
